DateTime,Current Forecast,Actual Hourly Avg.,Day-Ahead Forecast
4/16/2024 1:00,44494.1692,44420.96,44700.2
4/16/2024 2:00,42537.5304,42718.32,42784.1298
4/16/2024 3:00,41670.4895,41459.1,41512.4905
4/16/2024 4:00,40830.8401,40988.29,40797.6304
4/16/2024 5:00,41299.5209,41208.53,40924.2406
4/16/2024 6:00,42581.3852,42414.82,42232.2496
4/16/2024 7:00,44805.4601,45296.18,44748.8096
4/16/2024 8:00,46899.9397,46357.92,45944.0603
4/16/2024 9:00,46966.12,47091.52,46959.2598
4/16/2024 10:00,48344.8796,48529.69,48707.9099
4/16/2024 11:00,50087.2496,49907.43,50598.7104
4/16/2024 12:00,51904.41,51260.08,52797.729
4/16/2024 13:00,53171.3794,52371.79,55001.5897
4/16/2024 14:00,53668.8307,53583.18,57132.5796
4/16/2024 15:00,54441.73,54866.41,58721.2295
4/16/2024 16:00,55746.4205,55820.89,59844.2404
4/16/2024 17:00,56498.1803,56872.72,60625.7703
4/16/2024 18:00,56998.34,57072.69,60417.7307
4/16/2024 19:00,56238.8101,56355.48,59009.439
4/16/2024 20:00,55428.7509,53899.02,57317.4899
4/16/2024 21:00,52435.5902,52903.85,56585.3701
4/16/2024 22:00,50980.2595,52441.74,54958.7391
4/16/2024 23:00,50643.9397,50601.29,52072.6392
4/17/2024 0:00,47401.9005,48436.59,49017.3796
